Ticker symbol,Security,CIK,GICS Sector,Date first added
ADS,Alliance Data Systems,1101215,Information Technology,23/12/13
FB,Facebook,1326801,Information Technology,23/12/13
MHK,Mohawk Industries,851968,Consumer Discretionary,23/12/13
GGP,General Growth Properties Inc.,895648,Financials,10/12/13
ALLE,Allegion,1579241,Industrials,02/12/13
KORS,Michael Kors Holdings,1530721,Consumer Discretionary,13/11/13
RIG,Transocean,1451505,Energy,29/10/13
AME,Ametek,1037868,Industrials,23/09/13
VRTX,Vertex Pharmaceuticals Inc,875320,Health Care,23/09/13
DAL,Delta Air Lines,27904,Industrials,11/09/13
NWS,News Corp. Class B,1564708,Consumer Discretionary,01/08/13
NWSA,News Corp. Class A,1564708,Consumer Discretionary,01/08/13
NLSN,Nielsen Holdings,1492633,Industrials,09/07/13
FOX,Twenty-First Century Fox Class B,1308161,Consumer Discretionary,01/07/13
FOXA,Twenty-First Century Fox Class A,1308161,Consumer Discretionary,01/07/13
ZTS,Zoetis,1555280,Health Care,21/06/13
GM,General Motors,1467858,Consumer Discretionary,06/06/13
KSU,Kansas City Southern,54480,Industrials,24/05/13
MAC,Macerich,912242,Financials,09/05/13
REGN,Regeneron,872589,Health Care,01/05/13
PVH,PVH Corp.,78239,Consumer Discretionary,15/02/13
ABBV,AbbVie,1551152,Health Care,31/12/12
DLPH,Delphi Automotive,1521332,Consumer Discretionary,24/12/12
GRMN,Garmin Ltd.,1121788,Consumer Discretionary,12/12/12
DG,Dollar General,29534,Consumer Discretionary,03/12/12
KHC,Kraft Heinz Co,1545158,Consumer Staples,02/10/12
MDLZ,Mondelez International,1103982,Consumer Staples,02/10/12
ADT,ADT Corp,1546640,Industrials,01/10/12
PNR,Pentair Ltd.,77360,Industrials,01/10/12
LYB,LyondellBasell,1489393,Materials,05/09/12
ESV,Ensco plc,314808,Energy,31/07/12
STX,Seagate Technology,1137789,Information Technology,02/07/12
LRCX,Lam Research,707549,Information Technology,29/06/12
MNST,Monster Beverage,865752,Consumer Staples,28/06/12
ALXN,Alexion Pharmaceuticals,899866,Health Care,25/05/12
KMI,Kinder Morgan,1506307,Energy,25/05/12
PSX,Phillips 66,1534701,Energy,01/05/12
FOSL,"Fossil, Inc.",883569,Consumer Discretionary,04/04/12
